factory_name,factory_type,factory_priority,management_employees,number_of_machines,production_capacity_yearly_in_dozen,principal_exportable_products,factory_location,factory_location_in_city,factory_location_in_town,year_of_establishment,factory_status
"1st & Fair Fashion Wear Pvt. Ltd.",Woven,5,180,100,100000,"Shirts ,Pants","Holding # 2059, Joy Bangla Road, National University, Gazipur, Joydevpur",Gazipur,Joydebpur,2015,Clean
"3A Fashions Ltd.",Knit,5,350,114,600000,"T-Shirts ,Polo Shirts","Khejur Bagar, Baro Ashulia, Dhaka, Savar",Dhaka,Savar,2010,Clean
"3M Composite Ltd.",Knit,5,250,116,100000,"T-Shirts ,Polo Shirts","Lithe Complex, Asian High Way, Shanarpar, Narayanganj, Siddirganj",Narayanganj,Shiddirganj,2009,Clean
"3N Fashion (BD) Ltd.",Knit,5,250,263,20000,"Shirts ,Pants ,T-Shirts ,Polo Shirts","Plot # 2924,2925,2939,2940, (Chairman Plaza) Dakkhin Khan Bazar, Dhaka, Dakkhin Khan",Dhaka,"Dakkhin Khan",2014,Clean
"3S International Ltd.",Knit,5,65,52,75000,"T-Shirts ,Polo Shirts","144/1, Alubdi (Ground & 1st Floor), Pallobi, Dhaka, Mirpur-12",Dhaka,Mirpur-12,2015,Clean
"4 Star Fashions Ltd.",Sweater,5,582,409,60000,Sweaters,"385/1, East Rampura (6th Floor), Dhaka, Rampura",Dhaka,Rampura,1998,Clean
"4 You Clothing Ltd.",Woven,5,440,162,8000,"Shirts ,Blouses ,Trousers","167/1, Senpara Parbata, Section # 10, Dhaka, Mirpur",Dhaka,Mirpur,1999,Clean
"4 Z Apparels",Woven,1,1,270,350000,"Shirt ,Pant ,T-shirt ,Polo shirt","Master Bari Road, Beraider Chala, Sreepur, Gazipur, Gazipur",Gazipur,Gazipur,2023,Clean
"4A Yarn Dyeing Ltd.",Sweater,5,721,1100,60000,"Sweaters ,Pullovers ,Cardigans","Kaichabari, Banshbari, DEPZ Road, Dhaka, Savar",Dhaka,Savar,2007,Clean
"4S-Park Style Ltd.",Knit,5,489,278,100000,"T-Shirts ,Polo Shirts ,Sleep Boxer ,Sweet Shirts","Durgapur, Ashulia, Dhaka, Savar",Dhaka,Savar,2008,Clean
